"Date","EON","RWE","BAYER","BMW","VOLKSWAGEN","SAP","DEUTSCHE.TELEKOM"
2012-07-13,15.465,33.976,57.26,57.679,132.4,49.3,9.105
2012-08-13,15.523,32.878,61.037,59.084,133.3,51.922,9.2
2012-09-13,17.228,36.108,64.665,60.375,134,54.8,9.759
2012-10-13,15.935,34.635,66.93,60.325,133.5,54.22,9.171
2012-11-13,12.945,32.901,65.531,63.409,144.02,56.72,8.339
2012-12-13,12.401,30.953,71.18,70.494,160.49,60.35,8.52
2013-01-13,12.499,30.117,71.711,73.109,164.434,61.32,9.059
2013-02-13,11.724,28.048,70.215,72.2,170.2,60,8.569
2013-03-13,11.41,28.249,75.983,71.113,159.7,64.02,8.36
2013-04-13,12.716,30.487,79.318,67.584,140.8,59.453,8.78
2013-05-13,11.444,27.753,82.569,72.35,150.2,63.447,9.701
2013-06-13,11.491,26.254,80.794,69.367,152.625,57.436,8.763
2013-07-13,10.695,22.499,83.131,70.5,160.798,57.25,8.99
2013-08-13,10.983,22.351,85.461,74.2,180,56.5,9.929
2013-09-13,12.043,25.508,82.349,79.711,175.694,54.84,9.88
2013-10-13,12.073,26.762,85.91,80.94,168.3,54.413,11.39
2013-11-13,12.055,27.149,91.816,81.251,182.3,59.68,11.155
2013-12-13,11.526,26.117,94.02,79.891,182.5,58.8,11.353
2014-01-13,11.509,25.541,96.446,84.305,194.19,61.35,12.199
2014-02-13,12.148,28.454,98.803,85.666,192.687,57.74,12.079
2014-03-13,11.755,27.624,91.176,80.02,175.59,54.101,11.21
2014-04-13,11.999,28.778,91.335,89.911,190.7,56.794,11.22
2014-05-13,11.71,27.441,101.017,89.638,187.432,55.955,12.886
2014-06-13,12.612,29.703,101.951,90.517,193.4,56.16,12.68
2014-07-13,12.695,30.589,99.541,91.961,184.105,57.28,12.092
2014-08-13,12.102,29.334,95.635,88.011,168.38,57.646,11.33
2014-09-13,12.604,30.864,104.166,89.393,174.65,59.86,11.463
2014-10-13,11.726,27.374,101.411,79.719,153.6,54.485,10.877
2014-11-13,11.423,26.931,108.723,82.79,167.7,53.46,12.419
2014-12-13,12.395,27.12,111.104,88.201,178.7,55.526,12.711
2015-01-13,11.21,22.612,114.682,89.905,180.4,56.687,13.72
2015-02-13,11.712,23.593,124.34,107.391,209.698,60.425,15.93
2015-03-13,11.923,23.665,139.741,120,240.55,64.629,17.132
2015-04-13,12.619,24.991,141.71,116.19,240.64,68.686,17.527
2015-05-13,12.079,22.34,126.683,104.472,216.9,66.95,16.05
