"Date","SMI","Nestle","UBS","CS","Swiss.Re","Roche"
1993-05-29,2547.5,980.9,795.18,457.03,830.4,343.12
1993-06-29,2683.2,1033.47,896.89,488.85,867.77,362.27
1993-07-29,2716.3,940.74,957.91,518.33,907.91,369.23
1993-08-29,2804.4,993.86,998.59,527.84,960.5,376.56
1993-09-29,2812.2,989.36,998.59,532.59,913.44,391.94
1993-10-29,3081.3,1068.58,1128.04,630.55,1040.77,421.25
1993-11-29,3098.2,1052.37,1146.53,660.99,1015.86,441.03
1993-12-29,3320.6,1143.3,1198.31,696.65,1096.3,457.51
1994-01-29,3554.2,1265.73,1357.35,687.14,1044.03,520.15
1994-02-28,3268.5,1155,1283.38,601.55,948.44,512.82
1994-03-29,3199.7,1093.78,1209.41,599.17,897.65,515.75
1994-04-29,3110.9,1055.97,1109.55,568.26,893.17,492.31
1994-05-29,3098.9,1030.77,1115.12,575.39,872.26,484.25
1994-06-29,3035.1,1040.3,1145.67,545.08,843.88,472.96
1994-07-29,2976.4,1078.93,1145.67,560.09,849.86,392.53
1994-08-29,3040.6,1145.16,1180.04,525.08,814.01,441.6
1994-09-29,2951.5,1097.33,1237.33,502.58,861.81,433.85
1994-10-29,2873.6,1061.45,1042.56,525.08,1100.78,402.86
1994-11-29,2982.3,1117.56,973.82,542.58,1172.48,430.9
1994-12-29,3034.8,1147,954.73,560.09,1194.33,467.43
1995-01-29,2942.2,1078.93,893.63,530.08,1111.08,468.53
1995-02-28,3002.1,1098.25,943.27,512.58,1121.68,505.06
1995-03-29,2880.3,999.83,916.54,458.82,1112.59,478.86
1995-04-29,3007.8,1029.26,939.45,478.82,1209.47,508.01
1995-05-29,3223.1,1078.01,969.87,537.58,1333.6,524.24
1995-06-29,3352.1,1137.12,999.26,551.71,1348.73,553.93
1995-07-29,3337.4,1105.14,975.75,510.36,1368.41,582.93
1995-08-29,3401.2,1154.05,881.7,511.66,1435.02,594.08
1995-09-29,3551.4,1112.67,983.59,560.75,1710.52,606.72
1995-10-29,3565.3,1071.28,983.59,589.18,1793.77,601.52
