date;days-to-maturity;strike;option_price;callput_flag;ticker
31.12.2021;30;4283.507;499.3973;C;SPX
31.12.2021;30;4434.576;355.6775;C;SPX
31.12.2021;30;4533.613;262.7363;C;SPX
31.12.2021;30;4599.436;203.0528;C;SPX
31.12.2021;30;4646.96;162.1177;C;SPX
31.12.2021;30;4684.499;131.4722;C;SPX
31.12.2021;30;4715.806;107.2722;C;SPX
31.12.2021;30;4742.791;87.6554;C;SPX
31.12.2021;30;4766.688;71.52483;C;SPX
31.12.2021;30;4788.444;58.11863;C;SPX
31.12.2021;30;4808.833;46.86017;C;SPX
31.12.2021;30;4828.535;37.31856;C;SPX
31.12.2021;30;4848.238;29.18112;C;SPX
31.12.2021;30;4868.804;22.21907;C;SPX
31.12.2021;30;4891.555;16.26085;C;SPX
31.12.2021;30;4918.879;11.16664;C;SPX
31.12.2021;30;4955.41;6.794947;C;SPX
